gvkey,fyear,enp_share
002073,2001.0,1.0
002073,2002.0,1.0
002073,2003.0,1.0
002073,2004.0,1.0
002073,2005.0,1.0
002073,2006.0,1.0
002073,2007.0,1.0
002073,2008.0,1.0
002073,2009.0,1.0
002073,2010.0,1.0
002073,2011.0,1.0
002073,2012.0,1.0
002073,2013.0,1.0
002076,1983.0,1.0
002076,1984.0,1.0
002076,1985.0,1.0
002076,1986.0,1.0
002076,1987.0,1.0
002076,1988.0,1.0
002076,1989.0,1.0
002076,1990.0,1.0
002076,1991.0,1.0
002076,1992.0,1.0
002076,1993.0,1.0
002076,1994.0,0.8049991073022674
002092,1982.0,1.0
002092,1983.0,1.0
002092,1984.0,1.0
002092,1985.0,1.0
002092,1986.0,1.0
002093,1981.0,1.0
002093,1982.0,1.0
002093,1983.0,1.0
002093,1984.0,1.0
002093,1985.0,1.0
002106,1976.0,0.8727351164797239
002106,1977.0,0.8490462215700659
002106,1978.0,1.0
002106,1979.0,1.0
002125,1981.0,0.9604349444020461
002125,1982.0,0.9667012228233252
002128,1984.0,1.0
002128,1985.0,1.0
002128,1986.0,1.0
002128,1987.0,1.0
002128,1988.0,1.0
002128,1989.0,1.0
002128,1990.0,1.0
002128,1991.0,1.0
002128,1992.0,1.0
002128,1993.0,0.854196199815323
002128,1995.0,0.8130874202412556
002128,1996.0,0.8293576754605946
002128,1997.0,0.8116045979305571
002128,1999.0,1.0
002128,2000.0,1.0
002128,2001.0,1.0
002128,2002.0,1.0
002128,2003.0,1.0
002128,2004.0,1.0
002128,2005.0,1.0
002128,2006.0,1.0
002128,2007.0,1.0
002128,2008.0,1.0
002128,2009.0,1.0
002128,2010.0,1.0
002147,1979.0,1.0
002147,1980.0,1.0
002147,1981.0,1.0
002147,1982.0,1.0
002147,1983.0,1.0
002147,1984.0,1.0
002147,1985.0,1.0
002147,1986.0,1.0
002161,1976.0,1.0
002161,1977.0,1.0
002161,1978.0,1.0
002161,1979.0,1.0
002161,1980.0,1.0
002161,1981.0,1.0
002161,1982.0,1.0
002161,1983.0,1.0
002161,1984.0,1.0
002161,1985.0,1.0
002161,1986.0,1.0
002161,1987.0,1.0
002164,1978.0,1.0
002164,1979.0,1.0
002164,1980.0,1.0
002164,1981.0,1.0
002164,1982.0,1.0
002164,1983.0,1.0
002164,1984.0,1.0
002164,1985.0,1.0
002164,1986.0,1.0
002164,1988.0,1.0
002164,1989.0,1.0
002164,1990.0,1.0
002164,1991.0,1.0
002204,1977.0,1.0
002204,1978.0,1.0
002204,1979.0,1.0
002204,1980.0,1.0
002204,1981.0,1.0
002204,1982.0,1.0
002204,1983.0,1.0
002204,1984.0,1.0
002204,1985.0,1.0
002204,1986.0,1.0
002204,1987.0,1.0
002204,1988.0,1.0
002204,1989.0,1.0
002204,1990.0,1.0
002204,1991.0,1.0
002204,1992.0,1.0
002204,1993.0,1.0
002204,1994.0,1.0
