stype,tic,gvkey,sic,snms,sales,fyear
BUSSEG,HES,001380,1311,"Refining, Marketing & Shipping",8351.0,2002.0
BUSSEG,HES,001380,1311,Corporate & Other,1.0,2002.0
BUSSEG,HES,001380,1311,Exploration & Production,2837.0,2003.0
BUSSEG,HES,001380,1311,Refining & Marketing,11473.0,2003.0
BUSSEG,HES,001380,1311,Corporate & Interest,1.0,2003.0
BUSSEG,HES,001380,1311,"Refining, Marketing & Shipping",11473.0,2003.0
BUSSEG,HES,001380,1311,Corporate & Other,1.0,2003.0
BUSSEG,HES,001380,1311,Exploration & Production,3284.0,2004.0
BUSSEG,HES,001380,1311,Refining & Marketing,13448.0,2004.0
BUSSEG,HES,001380,1311,Corporate & Interest,1.0,2004.0
BUSSEG,HES,001380,1311,Exploration & Production,4072.0,2005.0
BUSSEG,HES,001380,1311,Marketing & Refining,18673.0,2005.0
BUSSEG,HES,001380,1311,Corporate & Interest,2.0,2005.0
BUSSEG,HES,001380,1311,Refining & Marketing,18673.0,2005.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2005.0
BUSSEG,HES,001380,1311,Exploration & Production,6585.0,2006.0
BUSSEG,HES,001380,1311,Marketing & Refining,21480.0,2006.0
BUSSEG,HES,001380,1311,Corporate & Interest,2.0,2006.0
BUSSEG,HES,001380,1311,Refining & Marketing,21480.0,2006.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2006.0
BUSSEG,HES,001380,1311,Exploration & Production,7732.0,2007.0
BUSSEG,HES,001380,1311,Marketing & Refining,23993.0,2007.0
BUSSEG,HES,001380,1311,Corporate & Interest,2.0,2007.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2007.0
BUSSEG,HES,001380,1311,Exploration & Production,9858.0,2008.0
BUSSEG,HES,001380,1311,Marketing & Refining,31273.0,2008.0
BUSSEG,HES,001380,1311,Corporate & Interest,3.0,2008.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2008.0
BUSSEG,HES,001380,1311,Exploration & Production,7149.0,2009.0
BUSSEG,HES,001380,1311,Marketing & Refining,22464.0,2009.0
BUSSEG,HES,001380,1311,Corporate & Interest,1.0,2009.0
