gvkey,fyear,total_sales,domestic_sales,domestic_sales_share
001568,1980.0,3.877,3.877,1.0
001617,1982.0,5.631,5.631,1.0
001617,1983.0,3.793,3.793,1.0
001624,1981.0,0.013,0.013,1.0
001624,1982.0,0.009,0.009,1.0
001624,1983.0,0.265,0.265,1.0
001624,1984.0,7.68,7.68,1.0
001624,1985.0,4.665,4.665,1.0
001624,1986.0,0.161,0.161,1.0
001629,1981.0,352.402,352.402,1.0
001629,1982.0,325.812,325.812,1.0
001629,1983.0,282.812,282.812,1.0
001629,1984.0,335.176,335.176,1.0
001673,1978.0,0.442,0.442,1.0
001673,1979.0,0.508,0.508,1.0
001673,1980.0,0.966,0.966,1.0
001673,1981.0,2.969,2.969,1.0
001673,1982.0,2.199,2.199,1.0
001673,1983.0,1.61,1.61,1.0
001673,1984.0,2.764,2.764,1.0
001678,1976.0,0.0,0.0,
001678,1977.0,99.917,99.917,1.0
001678,1978.0,77.694,77.694,1.0
001678,1979.0,89.243,89.243,1.0
001678,1980.0,96.694,96.694,1.0
001678,1981.0,120.138,120.138,1.0
001678,1982.0,135.054,135.054,1.0
001678,1983.0,112.361,112.361,1.0
001678,1984.0,115.608,115.608,1.0
001678,1985.0,128.466,128.466,1.0
001678,1986.0,171.656,171.656,1.0
001678,1987.0,100.511,100.511,1.0
001678,1988.0,141.512,141.512,1.0
001678,1989.0,241.107,241.107,1.0
001678,1990.0,261.275,261.275,1.0
001678,1991.0,342.032,337.457,0.9866240585676195
001678,1992.0,423.146,415.127,0.9810490941660798
001678,1993.0,463.204,447.707,0.9665438985846408
001678,1994.0,537.787,511.448,0.9510233605498086
001678,1995.0,722.94,682.432,0.9439676874982709
001678,1996.0,900.0229999999999,834.983,0.927735180100953
001678,1997.0,1071.405,938.789,0.8762223435582249
001678,1998.0,566.295,496.238,0.8762888600464422
001678,1999.0,700.976,699.039,0.9972367099586862
001678,2000.0,1374.941,1374.941,1.0
001678,2001.0,1459.885,1458.838,0.9992828202221408
001678,2002.0,1107.8899999999999,1101.388,0.9941311863091101
001678,2003.0,2296.536,2023.492,0.881106152919005
001678,2004.0,2339.787,2332.064,0.9966992721987087
001678,2005.0,2841.7419999999997,2824.522,0.9939403365963554
001678,2006.0,3194.422,3027.227,0.9476603279090865
001678,2007.0,4622.43,4306.108,0.931568028071815
001678,2008.0,5463.239,5083.397,0.930473113111105
001678,2009.0,3411.442,3049.699,0.8939618495639088
001678,2010.0,4672.0,4300.0,0.9203767123287672
001678,2011.0,6577.0,6103.0,0.9279306674775734
001678,2012.0,8977.0,6226.0,0.6935501838030522
001678,2013.0,9630.0,6902.0,0.7167185877466251
001678,2014.0,8060.0,5744.0,0.7126550868486352
001678,2015.0,3917.0,2637.0,0.6732193004850651
001678,2016.0,2967.0,1997.0,0.6730704415234243
001678,2017.0,3349.0,2271.0,0.6781128695132875
001678,2018.0,4600.0,3279.0,0.7128260869565217
001678,2019.0,4039.0,2763.0,0.6840802178757118
001678,2020.0,2647.0,1764.0,0.6664148092179826
001678,2021.0,4413.0,3277.0,0.7425787446181735
001678,2022.0,5699.0,4141.0,0.7266187050359713
001680,1981.0,46.531,46.531,1.0
001680,1982.0,78.109,78.109,1.0
001680,1983.0,148.736,148.736,1.0
001680,1984.0,221.132,221.132,1.0
001680,1985.0,260.526,260.526,1.0
001680,1986.0,189.931,189.931,1.0
001680,1987.0,155.134,155.134,1.0
001682,1982.0,2.103,2.103,1.0
001682,1983.0,3.422,3.422,1.0
001682,1984.0,0.415,0.415,1.0
001682,1985.0,2.943,2.943,1.0
001682,1986.0,6.902,6.902,1.0
001682,1987.0,5.752,5.752,1.0
001682,1988.0,5.916,5.916,1.0
001682,1989.0,9.26,9.26,1.0
001682,1990.0,15.93,15.93,1.0
001682,1991.0,16.549,16.549,1.0
001682,1992.0,0.252,0.252,1.0
001682,1993.0,0.005,0.0,0.0
001682,1994.0,32.509,0.0,0.0
001682,1995.0,35.742,0.0,0.0
001682,1996.0,45.954,0.0,0.0
001682,1997.0,47.065,0.0,0.0
001682,1998.0,33.333,0.0,0.0
001682,2004.0,30.582,0.0,0.0
001682,2005.0,41.739,0.0,0.0
001682,2006.0,57.952,0.0,0.0
001682,2007.0,61.654,0.0,0.0
001682,2008.0,69.116,0.0,0.0
001682,2009.0,72.716,0.0,0.0
001682,2010.0,87.815,0.0,0.0
001682,2011.0,104.78,0.0,0.0
001682,2012.0,7.0,0.0,0.0
001682,2013.0,11.4,0.0,0.0
001714,1977.0,5.22,5.22,1.0
001714,1978.0,6.454,6.444,0.9984505732878836
001714,1979.0,7.686,7.64,0.994015092375748
001714,1980.0,20.412,20.381,0.9984812855183226
001714,1981.0,7.404,7.404,1.0
001714,1982.0,0.0,0.0,
001714,1983.0,5.024,5.024,1.0
001714,1984.0,4.109,4.109,1.0
001714,1985.0,3.538,3.538,1.0
001714,1986.0,2.212,2.212,1.0
001714,1987.0,1.375,1.375,1.0
001714,1988.0,1.003,1.003,1.0
001714,1989.0,0.975,0.975,1.0
001714,1990.0,1.398,1.398,1.0
001732,1977.0,6.685,6.685,1.0
001732,1978.0,7.015,6.664,0.9499643620812545
001732,1979.0,8.688,8.688,1.0
001732,1980.0,15.793,15.793,1.0
001732,1981.0,21.959999999999997,21.868,0.9958105646630238
001732,1982.0,22.692,22.353,0.9850608143839239
001732,1983.0,21.432000000000002,20.646,0.9633258678611422
001732,1984.0,26.066,24.97,0.957952888820686
001732,1985.0,21.944000000000003,20.623,0.9398013124316441
001732,1986.0,11.059999999999999,10.203,0.9225135623869801
001733,1977.0,1.561,1.561,1.0
001733,1978.0,2.375,2.375,1.0
001733,1979.0,2.705,2.705,1.0
001733,1980.0,5.328,5.328,1.0
001733,1981.0,7.471,7.471,1.0
001733,1982.0,2.879,2.879,1.0
001733,1983.0,3.475,3.475,1.0
001733,1984.0,2.972,2.972,1.0
001788,1977.0,21.624000000000002,0.0,0.0
001788,1978.0,24.079,0.0,0.0
001788,1979.0,37.1,0.0,0.0
001788,1980.0,32.056,0.0,0.0
001788,1981.0,52.394000000000005,0.0,0.0
001788,1982.0,75.19800000000001,0.0,0.0
