date,hhi,hhi_10000
2017-06-30,0.04995555043524359,499.56
2017-09-30,0.05187441641204421,518.74
2017-12-31,0.05287117957058371,528.71
2018-03-31,0.055150321289328494,551.5
2018-06-30,0.053651818787014915,536.52
2018-09-30,0.05702106510511285,570.21
2018-12-31,0.05161964615363855,516.2
2019-03-31,0.06458331964956268,645.83
2019-06-30,0.05377301592814612,537.73
2019-09-30,0.058541536989705475,585.42
2019-12-31,0.059030246904050725,590.3
2020-03-31,0.05706428179629428,570.64
2020-06-30,0.07962603502690155,796.26
2020-09-30,0.07222920356239908,722.29
2020-12-31,0.06596278058883512,659.63
2021-03-31,0.08375474381036144,837.55
2021-06-30,0.08837619528089893,883.76
2021-09-30,0.09598415943593921,959.84
2021-12-31,0.06509330939610435,650.93
2022-03-31,0.09003618040759721,900.36
2022-06-30,0.06645450044774716,664.55
2022-09-30,0.06937751671560176,693.78
2022-12-31,0.06055779621868945,605.58
2023-03-31,0.06603697444333531,660.37
2023-06-30,0.06760934711898159,676.09
2023-09-30,0.07298738039984977,729.87
2023-12-31,0.07240314650655158,724.03
2024-03-31,0.08484166177174529,848.42
2024-06-30,0.08930559344127752,893.06
2024-09-30,0.08790018837091203,879.0
2024-12-31,0.08921928954167677,892.19
2025-03-31,0.09497431892361272,949.74
2025-06-30,0.08070373472123371,807.04
2025-09-30,0.7832450553685164,7832.45
